Food,Category,Calories
freeze dried pineapple chunks,en:snacks,0.040009560229445504
manteiga de amendoim com pedaços,en:peanut-butters,0.06140057361376673
powder - cheese blend,en:groceries,0.0036089866156787764
owmy,en:supplement,0.00035850860420650097
cappy портокал,en:orange-juices-from-concentrate,0.004493307839388145
délice de 8 légumes,en:cold-soups,0.005305927342256214
pépites de figue,en:dried-figs,0.033293499043977055
potato chips,en:crisps,0.053608986615678776
mousse au chocolat noir,fr:mousses-au-chocolat-noir,0.03219407265774379
wild raw honey,en:raw-honey,0.03341300191204589
isagenix,en:protein-shakes,0.04032026768642447
"candy crush, fruit snacks, assorted",en:confectioneries,0.028608986615678775
isabar,en:cereal-bars,0.038001912045889104
chausson au pomme,en:apple-turnovers,0.03159655831739962
milk chocolate rose,en:chocolate-candies,0.05709847036328872
migni beignets assortis,en:sweet-fritters,0.044096558317399615
genepro,en:protien-powder,0.040009560229445504
farina avena,en:cereals-and-their-products,0.037404397705544934
proteine whey vegetal,en:protein-powders,0.040893881453154875
romaine lettuce,en:fruits-and-vegetables-based-foods,0.0017925430210325047
savoiardi,en:cheese-fondue-from-savoy,0.03640057361376673
greek nonfat yogurt,en:yogurts,0.0076481835564053535
mini cookies,en:drop-cookies,0.050310707456978965
whey protein aus molke 500 gramm vanilla,en:protein-powders,0.0392925430210325
melody,en:dietary-supplements,0.03776290630975143
pinto bean,en:asian-style-ready-meal,0.00021510516252390058
sablés coco lait,en:shortbread-cookies,0.05250956022944551
whopper,en:omega-3,0.022777246653919694
extreme mass gainer,en:dietary-supplements,0.039507648183556406
bio whey isolat,en:artificial-sugar-substitutes,0.043021032504780114
tom’s of maine fresh mint,fr:shake-proteine,0.03506214149139579
"welch's, freeze-dried mango slices",en:snacks,0.03499043977055449
purée de noisettes sans sel bio,fr:pate-de-noix,0.06933556405353729
"la eur, 3 milk soft ripened cheese",en:cheeses,0.02820267686424474
beurre de cacahuètes,en:peanut-butters,0.06140057361376673
frollini al cacao,en:biscuits,0.040296367112810705
brochettes d'abats de boeuf,en:beef-skewers,0.013097514340344169
dehydrated potato shreds,en:mixed-vegetables,0.03549235181644359
complete,en:meal-replacements,0.0375
hierba de trigo,en:groceries,0.025597514340344168
velouté de 10 légumes,en:cream-of-vegetable-soups,0.003202676864244742
sirop de dattes,en:date-syrups,0.030090822179732312
huile d'olive extra vierge bio,en:virgin-olive-oils,0.08843212237093691
biscuits aux fruits,en:fruit-biscuits,0.04660611854684513
alimento equilibrado,en:dietary-supplements,0.03979445506692161
"tetley, black tea",en:tea-bags,9.560229445506692e-05
jelly fish,en:candies,0.014005736137667304
bio walnusskerne achtel kerne,en:walnut-kernels,0.06618068833652008
treccine alla pizzaiola,en:snacks,0.03238527724665392
romaine hearts,en:fruits-and-vegetables-based-foods,0.0017925430210325047
vintage minis,en:honeys,0.029995219885277247
teriyaki beef with pineapple rice,en:frozen-foods,0.012404397705544933
garofalo gluten free pasta,en:dry-pastas,0.03611376673040153
perfectbar,en:protein-bars,0.041491395793499045
"ryan's, organic juice, apple",en:plant-based-beverages,0.004588910133843212
sparkling water,en:waters,0.0
"emojeez, fruit flavored gummies, green apple, orange, fruit punch, lemon, cherry blue raspberry",en:confectioneries,0.027509560229445507
queso danbo en fetas,bg:данбо,0.0365678776290631
the simpsons donuts,en:doughnuts,0.04698852772466539
chocolat noir sésame complet,en:dark-chocolate-bar,0.05855640535372849
100% soja protein haselnuss,en:protein-powders,0.038001912045889104
chromebook,en:laptop,0.004804015296367113
jus cerise raisin,en:fruit-juices,0.004804015296367113
figs,en:figs,0.025095602294455066
pois chiches bio,en:canned-chickpeas,0.007241873804971319
lean cuisine salisbury steak with macaroni & cheese,en:salisbury-steak,0.009297323135755257
knusper-müsli mango,en:mueslis-with-fruits,0.02805927342256214
chocolife,it:cio,0.04550669216061185
"sobe, fruit strip snacks, mango, pineapple",en:snacks,0.032098470363288716
protein shake,en:shake,0.009990439770554494
caramel flavor apple cider drink,en:beverages,0.005401529636711281
pur jus de pommes,en:squeezed-apple-juices,0.004397705544933079
nussmischung 4fach,en:shelled-nuts,0.06479445506692161
muesli quinoa chia,en:breakfast-cereals,0.04161089866156788
herbal tea cinnamon,en:tea-bags,0.0
anthony's textured vegetable protein,en:textured-vegetable-protein,0.029158699808795412
haricots noirs bio,en:black-beans,0.0057361376673040155
jus de fruit,en:fruit-juices,0.005497131931166348
4 beignets à la pomme,fr:beignets-a-la-pomme,0.030999043977055447
all-brann prebiotic,en:breakfast-cereals,0.04139579349904398
vegetarian meat substitute bits,en:groceries,0.029995219885277247
beurre,en:margarines-high-in-omega-3,0.046797323135755256
"today's temptations, lithuanian rye bread",en:breads,0.02280114722753346
"pate d'arachide seaux 4,5kg",en:peanut-butters,0.06108986615678776
roasted chicken + herb flavour collagen bone broth,en:soup-mixes,0.03202676864244742
"bakers best, rye bread",en:breads,0.025597514340344168
veganes protein natur geschmack,en:protein-powders,0.03910133843212237
celery,en:fruits-and-vegetables-based-foods,0.001410133843212237
huile d'olive vierge extra cuve magali,en:virgin-olive-oils,0.08097514340344168
sandwich glacé vanille cacao,en:cocoa-powders,0.027796367112810708
pain de mie sans gluten,en:gluten-free-sliced-breads,0.027891969407265776
"candy crush, fruit snacks",en:confectioneries,0.030903441682600383
solid milk chocolate,en:confectioneries,0.05540152963671128
creamy wheat cereal,en:cereals-and-their-products,0.0359942638623327
romaine hearts,en:fruits-and-vegetables-based-foods,0.0017925430210325047
gaspacho à l'andalouse,en:cold-soups,0.002605162523900574
sauce dip à la française,en:dips,0.032504780114722756
smart food white cheddar,en:beans,1.0
brown sugar,en:sugars,0.033293499043977055
madeleine bijou chocopépites,en:madeleines,0.04729923518164436
"lagg's, herbal tea, chamomile * mint",en:tea-bags,0.0
zumosol,en:juices-and-nectars,0.004302103250478011
drink mix,en:dehydrated-beverages,0.0385038240917782
semillas de cáñamo peladas,en:cereals-and-their-products,0.05779158699808795
"bakers best, white bread",en:breads,0.023494263862332696
fuji pom blend juice,en:plant-based-beverages,0.004588910133843212
sliced yellow cling peaches in peach and pear juice,en:canned-drained-peach-in-light-syrup,0.004827915869980879
pâte à tartiner chocolat et noisette,en:cocoa-and-hazelnuts-spreads,0.04940248565965583
"candy crush, jelly fish, orange, grape, black cherry",en:confectioneries,0.03499043977055449
creme de leite nestlé,en:creme-de-leite-bovino-enlatado,0.0038240917782026767
bonbons angry birds vert,en:candies,0.011998087954110899
beurre de cacahuètes,en:peanut-butters,0.06598948374760995
mct oil powder,es:mct,0.07002868068833652
flamiche maroilles chorizo poivrons,fr:flamiches,0.0255019120458891
marinara,en:sample,0.05738527724665392
donuts,en:doughnuts,0.03781070745697897
dulce de lecha,en:protien,0.0359942638623327
kiraz biber tursusu,en:groceries,0.003369980879541109
100% pure raw & unfiltered honey,en:honeys,0.03334130019120459
hafermilch,en:oat-based-drinks,0.004588910133843212
pâté de foie supérieur,en:liver-pates,0.03049713193116635
tisane bio rooibos de noel,en:rooibos,9.560229445506692e-05
"the madelaine chocolate company, solid dark chocolate",en:chocolate-candies,0.05279636711281071
moutarde au moût de raisin,en:groceries,0.02237093690248566
бургер булочка,en:dietary-supplements,0.0260038240917782
sliced sourdough bread,en:sliced-breads,0.021152007648183556
compote allégée pomme,en:apple-compotes,0.007194072657743786
organic fresh young chicken,en:pizza-sauces,9.560229445506692e-05
baked crisps,en:crisps,0.04400095602294455
artikel 1,en:vegetables,0.020076481835564052
food grade corn,en:chocolate-and-hazelnut-cookies,0.0505019120458891
crème d'olives noires bio kazidomi,en:black-tapenades,0.038145315487571704
focaccia senza glutine all’olio extravergine di oliva,en:focaccia,0.029636711281070746
mehrkomponeneten protein 90 c6 haselnuß,en:protein-powders,0.036639579349904396
petit hoppelli noir,en:quinoa,0.05449330783938815
turron de trufa,en:turron,0.047705544933078395
chair à saucisse tartufata,en:hummus,0.05881931166347992
chocolat,en:meals,0.008675908221797323
purée de noix de cajou crues bio,fr:pate-de-noix,0.05599904397705545
mini bifteki,en:frozen-meats,0.030210325047801148
crabe chair et pattes,en:crab,0.007002868068833652
crostatine albicocca,en:crostatina,0.04003346080305927
"pureboost, clean energy mix",en:water-enhancer,0.021749521988527726
riz de camargue long complet,en:camargue-rices,0.0359942638623327
